NOME_FUNDO;DOC_FUNDO;FUNDO_ID;NOME_CEDENTE;DOC_CEDENTE;NOME_SACADO;DOC_SACADO;ID_RECEBIVEL;SEU_NUMERO;NU_DOCUMENTO;TIPO_RECEBIVEL;CHAVE_NFE;VALOR_NOMINAL;VALOR_PRESENTE;VALOR_AQUISICAO;VALOR_PDD;DATA_REFERENCIA;DATA_EMISSAO;DATA_VENCIMENTO_ORIGINAL;DATA_AQUISICAO;SITUACAO_RECEBIVEL;STATUS_SNAPSHOT;REVISAO
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 01;84820000000128;QA RLX V2 SACADO 04;84830000000451;V2-MATCH_CHAVE;V2-MATCH_CHAVE;820000001;NOTA_FISCAL;35260884820000000128550120000000011100050017;10137,41;10137,41;10137,41;0,00;2026-08-07;2026-06-12;2026-08-31;2026-06-12;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 02;84820000000209;QA RLX V2 SACADO 07;84830000000702;V2-MATCH_SEU_NUMERO;V2-MATCH_SEU_NUMERO;820000002;NOTA_FISCAL;;10274,82;10274,82;10274,82;0,00;2026-08-07;2026-06-13;2026-09-01;2026-06-13;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 03;84820000000390;QA RLX V2 SACADO 02;84830000000290;900719925474099312345;V2-MATCH_PROPAGACAO;820000003;NOTA_FISCAL;35260884820000000390550140000000031100050038;10412,23;10412,23;10412,23;0,00;2026-08-07;2026-06-14;2026-09-02;2026-06-14;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 04;84820000000470;QA RLX V2 SACADO 05;84830000000532;V2-MATCH_COMPOSTO;;820000004;NOTA_FISCAL;;10549,64;10549,64;10549,64;0,00;2026-08-07;2026-06-15;2026-09-03;2026-06-15;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 05;84820000000551;QA RLX V2 SACADO 08;84830000000885;V2-MATCH_AMBIGUO;;820000005;NOTA_FISCAL;;10687,05;10687,05;10687,05;0,00;2026-08-07;2026-06-16;2026-09-04;2026-06-16;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE EXTERNO;84829999999947;QA RLX V2 SACADO EXTERNO;84839999999928;V2-MATCH_NAO_CONCILIADO;;EXT-MATCH_NAO_CONCILIADO;NOTA_FISCAL;;999999,99;999999,99;999999,99;0,00;2026-08-07;2026-07-01;2026-09-29;2026-07-01;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 02;84820000000209;QA RLX V2 SACADO 06;84830000000613;V2-MATCH_CONFLITO;V2-CONFLITO-CROSSWALK;820000007;NOTA_FISCAL;35260884820000000209550180000000071100050070;10961,87;10961,87;10961,87;0,00;2026-08-07;2026-06-18;2026-09-06;2026-06-18;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 04;84820000000470;QA RLX V2 SACADO 04;84830000000451;900719925474099399999;V2-CROSS-FUND;820000009;NOTA_FISCAL;35260884820000000470550200000000091100050091;11236,69;11236,69;11236,69;0,00;2026-08-07;2026-06-20;2026-09-08;2026-06-20;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 01;84820000000128;QA RLX V2 SACADO 08;84830000000885;V2-RECON_MANTIDO;V2-RECON_MANTIDO;820000021;NOTA_FISCAL;35260884820000000128550320000000211100050215;12885,61;12885,61;12885,61;0,00;2026-08-07;2026-06-12;2026-09-20;2026-06-12;ATIVO;COMPLETO_COM_DADOS;1
QA RLX GOLDEN V2 FIDC;84810000000147;ca8b721e-333c-4051-a87b-9359e51449c4;QA RLX V2 CEDENTE 02;84820000000209;QA RLX V2 SACADO 03;84830000000370;V2-RECON_ENTRADA_INCORPORADA;V2-RECON_ENTRADA_INCORPORADA;820000022;NOTA_FISCAL;35260884820000000209550330000000221100050220;13023,02;13023,02;13023,02;0,00;2026-08-07;2026-06-13;2026-09-21;2026-06-13;ATIVO;COMPLETO_COM_DADOS;1
