ID_RECEBIVEL;SEU_NUMERO;DOCUMENTO;IDENTIFICACAO_CEDENTE;IDENTIFICACAO_SACADO;TIPO_RECEBIVEL;ID_TIPO_MOVIMENTO;TIPO_MOVIMENTO;ST_RECEBIVEL;DATA_MOVIMENTO;DATA_AQUISICAO;DATA_VENCIMENTO;VL_AQUISICAO;VALOR_PAGO;VALOR_NOMINAL;JUROS;FUNDO_ID
910000000000000000010;QA-M-000010;800000010;83920000000560;83930000000380;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-18;2026-09-09;11812,51;12633,70;12633,70;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000012;QA-M-000012;800000012;83920000000218;83930000000118;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-20;2026-09-11;23726,29;25160,44;25160,44;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000014;QA-M-000014;800000014;83920000000480;83930000001190;NOTA_FISCAL;MOV_PARTIAL;MOV_PARTIAL;PARCIAL_QA;2026-08-09;2026-06-22;2026-09-13;46539,26;19574,87;48937,18;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000014;QA-M-000014;800000014;83920000000480;83930000001190;NOTA_FISCAL;MOV_PARTIAL;MOV_PARTIAL;PARCIAL_QA;2026-08-09;2026-06-22;2026-09-13;46539,26;12234,30;48937,18;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000016;QA-M-000016;800000016;83920000000137;83930000000975;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-24;2026-09-15;89173,49;94966,44;94966,44;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000018;QA-M-000018;800000018;83920000000307;83930000000703;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-26;2026-09-17;170472,66;180013,37;180013,37;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000020;QA-M-000020;800000020;83920000000560;83930000000541;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-28;2026-09-19;11725,00;12540,11;12540,11;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000022;QA-M-000022;800000022;83920000000218;83930000000380;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-30;2026-09-21;23638,04;25066,85;25066,85;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000024;QA-M-000024;800000024;83920000000480;83930000000118;NOTA_FISCAL;MOV_PARTIAL;MOV_PARTIAL;PARCIAL_QA;2026-08-09;2026-07-02;2026-09-23;46450,25;19537,44;48843,59;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000026;QA-M-000026;800000026;83920000000137;83930000001190;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-09;2026-09-25;89085,61;94872,85;94872,85;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000028;QA-M-000028;800000028;83920000000307;83930000000975;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-11;2026-09-27;170599,28;180147,07;180147,07;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
910000000000000000030;QA-M-000030;800000030;83920000000560;83930000000703;NOTA_FISCAL;MOV_FULL;MOV_FULL;LIQUIDADO_QA;2026-08-09;2026-06-13;2026-09-29;11850,01;12673,81;12673,81;0,00;61f02178-58af-bbfa-9a33-f97ac5b3dd96
